datum,mesto,naslov,sifra_umetnika
2016-02-07,10,DADDY (Feat. CL of 2NE1),232588
2016-02-14,1,Rough,357139
2016-02-14,2,The Little Prince,
2016-02-14,3,Don’t Forget (Feat. Taeyeon),237714
2016-02-14,4,Dream,
2016-02-14,5,Like OOH-AAH,364940
2016-02-14,6,Warning Sign,234739
2016-02-14,7,Love Again,393964
2016-02-14,8,Lonely Night (Feat. Gaeko),238781
2016-02-14,9,You Call It Romance (Feat. Davichi),233394
2016-02-14,10,Me Gustas Tu,357139
2016-02-21,1,Rough,357139
2016-02-21,2,Sentimental,355065
2016-02-21,3,Any where,355157
2016-02-21,4,"You Are Am, I Am You",344897
2016-02-21,5,Rain,361999
2016-02-21,6,Dream,
2016-02-21,7,Don’t Forget (Feat. Taeyeon),237714
2016-02-21,8,Hate,234117
2016-02-21,9,Like OOH-AAH,364940
2016-02-21,10,The Little Prince,
2016-02-28,1,Rough,357139
2016-02-28,2,Love You More,
2016-02-28,3,Rain,361999
2016-02-28,4,"You Are Am, I Am You",344897
2016-02-28,5,No Matter Where,355157
2016-02-28,6,Like OOH-AAH,364940
2016-02-28,7,Sentimental,355065
2016-02-28,8,Dream,
2016-02-28,9,Don’t Forget (Feat. Taeyeon),237714
2016-02-28,10,Love Again,393964
2016-03-06,1,Rough,357139
2016-03-06,2,Rain,361999
2016-03-06,3,Love You More,
2016-03-06,4,No Matter Where,355157
2016-03-06,5,Sentimental,355065
2016-03-06,6,"You Are Am, I Am You",344897
2016-03-06,7,Like OOH-AAH,364940
2016-03-06,8,I’m Jelly Baby,239025
2016-03-06,9,Me Gustas Tu,357139
2016-03-06,10,Dream,
2016-03-13,1,Press Your Number,379064
2016-03-13,2,Rough,357139
2016-03-13,3,Feel So Good,235470
2016-03-13,4,Rain,361999
2016-03-13,5,No Matter Where,355157
2016-03-13,6,You’re the Best,353617
2016-03-13,7,"You Are Am, I Am You",344897
2016-03-13,8,Me Gustas Tu,357139
2016-03-13,9,Like OOH-AAH,364940
2016-03-13,10,Love Again,393964
2016-03-20,1,You’re the Best,353617
2016-03-20,2,Press Your Number,379064
2016-03-20,3,Rough,357139
2016-03-20,4,Rain,361999
2016-03-20,5,Me Gustas Tu,357139
2016-03-20,6,No Matter Where,355157
2016-03-20,7,Call You Bae,239063
2016-03-20,8,Like OOH-AAH,364940
2016-03-20,9,"You Are Am, I Am You",344897
2016-03-20,10,Love Again,393964
2016-03-27,1,You’re the Best,353617
2016-03-27,2,Rough,357139
2016-03-27,3,Breathe,389498
2016-03-27,4,Press Your Number,379064
2016-03-27,5,Spring Love,236594
2016-03-27,6,Cherry Blossom Ending,235714
2016-03-27,7,Call You Bae,239063
2016-03-27,8,Rain,361999
2016-03-27,9,Hold My Hand,389498
2016-03-27,10,Like OOH-AAH,364940
2016-04-03,1,One of These Nights,354121
2016-04-03,2,You’re the Best,353617
2016-04-03,3,Rough,357139
2016-04-03,4,Cherry Blossom Ending,235714
2016-04-03,5,Breathe,389498
2016-04-03,6,Spring Love,236594
2016-04-03,7,Rain,361999
2016-04-03,8,Hold My Hand,389498
2016-04-03,9,Me Gustas Tu,357139
2016-04-03,10,No Matter Where,355157
2016-04-10,1,Fly,348434
2016-04-10,2,You’re the Best,353617
2016-04-10,3,Rough,357139
2016-04-10,4,One of These Nights,354121
2016-04-10,5,Cherry Blossom Ending,235714
2016-04-10,6,Breathe,389498
2016-04-10,7,Spring Love,236594
2016-04-10,8,No Matter Where,355157
2016-04-10,9,Me Gustas Tu,357139
2016-04-10,10,Rain,361999
2016-04-17,1,Remember That,343790
2016-04-17,2,You’re the Best,353617
2016-04-17,3,Fell In Love,362867
2016-04-17,4,Cherry Blossom Ending,235714
2016-04-17,5,Fly,348434
2016-04-17,6,Rough,357139
2016-04-17,7,Do You Like Spring,397557
2016-04-17,8,A Few Years Later,235201
2016-04-17,9,Without You By My Side,362867
2016-04-17,10,One of These Nights,354121
2016-04-24,1,YOU`RE SO FINE,234452
2016-04-24,2,Do You Like Spring,397557
2016-04-24,3,Remember That,343790
2016-04-24,4,Cherry Blossom Ending,235714
2016-04-24,5,Fly,348434
2016-04-24,6,You’re the Best,353617
2016-04-24,7,Rough,357139
2016-04-24,8,Fell In Love,362867
2016-04-24,9,You Too,349936
2016-04-24,10,Spring Love,236594
2016-05-01,1,YOU`RE SO FINE,234452
2016-05-01,2,Toy,235201
2016-05-01,3,Do You Like Spring,397557
2016-05-01,4,Rough,357139
2016-05-01,5,You’re the Best,353617
2016-05-01,6,Remember That,343790
2016-05-01,7,Cherry Blossom Ending,235714
2016-05-01,8,A Few Years Later,235201
2016-05-01,9,Lil Something,
2016-05-01,10,Fell In Love,362867
2016-05-08,1,Dynamite,
2016-05-08,2,Hopefully Sky,
2016-05-08,3,Toy,235201
2016-05-08,4,Do You Like Spring,397557
2016-05-08,5,Here I Am,234617
2016-05-08,6,MY STAR,389498
2016-05-08,7,You’re the Best,353617
2016-05-08,8,Rough,357139
2016-05-08,9,A Year 365 Days,348986
2016-05-08,10,Like OOH-AAH,364940
2016-05-15,1,CHEER UP,364940
2016-05-15,2,Hopefully Sky,
2016-05-15,3,Pretty U,345359
2016-05-15,4,Do You Like Spring,397557
2016-05-15,5,Toy,235201
2016-05-15,6,My Lips Like a Warm Cup of Coffee,237713
2016-05-15,7,You’re the Best,353617
2016-05-15,8,Destiny,354644
2016-05-15,9,Dynamite,
2016-05-15,10,Rough,357139
2016-05-22,1,Fire,347972
2016-05-22,2,CHEER UP,364940
2016-05-22,3,Hopefully Sky,
2016-05-22,4,RE-BYE,372941
2016-05-22,5,My Lips Like a Warm Cup of Coffee,237713
2016-05-22,6,Do You Like Spring,397557
2016-05-22,7,How People Move,372941
2016-05-22,8,Toy,235201
2016-05-22,9,You’re the Best,353617
2016-05-22,10,Pretty U,345359
2016-05-29,1,CHEER UP,364940
2016-05-29,2,Hopefully Sky,
2016-05-29,3,Dream Girls / Dream Girls,239165
2016-05-29,4,I Just Wanna Dance / I Just Wanna Dance,239172
2016-05-29,5,RE-BYE / RE-BYE,372941
2016-05-29,6,Fire,347972
2016-05-29,7,Nod Nod,239174
2016-05-29,8,My Lips Like a Warm Cup of Coffee,237713
2016-05-29,9,woo ah,237714
2016-05-29,10,How People Move,372941
2016-06-05,1,CHEER UP,364940
2016-06-05,2,Good Luck,
2016-06-05,3,Fly (Feat. Fabolous),
2016-06-05,4,Hopefully Sky,
2016-06-05,5,Dream Girls,239165
